Tanzania,"[1, 0.5, 0.1]"
Cyprus,"[1, 0.5, 0.1]"
Lithuania,"[1, 0.5, 0.1]"
Iraq,"[1, 0.5, 0.1]"
North America,"[1, 0.3, 0.4]"
Netherlands,"[1, 0.5, 0.1]"
Cabo Verde,"[1, 0.5, 0.1]"
Saudi Arabia,"[1, 0.5, 0.1]"
Malta,"[1, 0.5, 0.1]"
Somalia,"[1, 0.5, 0.1]"
Bhutan,"[1, 0.5, 0.1]"
Mozambique,"[1, 0.5, 0.1]"
Congo,"[1, 0.5, 0.1]"
Liberia,"[1, 0.5, 0.1]"
Korea Rep.,"[1, 0.5, 0.1]"
Congo Dem. Rep.,"[1, 0.5, 0.1]"
Morocco,"[1, 0.5, 0.1]"
Niger,"[1, 0.5, 0.1]"
St. Lucia,"[1, 0.5, 0.1]"
Cote d'Ivoire,"[1, 0.5, 0.1]"
Nicaragua,"[1, 0.5, 0.1]"
Nauru,"[1, 0.5, 0.1]"
Czech Republic,"[1, 0.5, 0.1]"
Comoros,"[1, 0.5, 0.1]"
Antigua and Barbuda,"[1, 0.5, 0.1]"
Botswana,"[1, 0.5, 0.1]"
Albania,"[1, 0.5, 0.1]"
Argentina,"[1, 0.5, 0.1]"
Finland,"[1, 0.5, 0.1]"
Tajikistan,"[1, 0.5, 0.1]"
Togo,"[1, 0.5, 0.1]"
North Macedonia,"[1, 0.5, 0.1]"
Ukraine,"[1, 0.5, 0.1]"
Gabon,"[1, 0.5, 0.1]"
United Kingdom,"[1, 0.5, 0.1]"
Gibraltar,"[1, 0.5, 0.1]"
Jamaica,"[1, 0.5, 0.1]"
Tonga,"[1, 0.5, 0.1]"
Austria,"[1, 0.5, 0.1]"
Azerbaijan,"[1, 0.5, 0.1]"
Turkey,"[1, 0.5, 0.1]"
Panama,"[1, 0.5, 0.1]"
Slovenia,"[1, 0.5, 0.1]"
Bangladesh,"[1, 0.5, 0.1]"
Bahrain,"[1, 0.5, 0.1]"
Gambia,"[1, 0.5, 0.1]"
El Salvador,"[1, 0.5, 0.1]"
Pakistan,"[1, 0.5, 0.1]"
Peru,"[1, 0.5, 0.1]"
Caribbean small states,"[1, 0.5, 0.1]"
Hungary,"[1, 0.5, 0.1]"
St. Vincent and the Grenadines,"[1, 0.5, 0.1]"
Bolivia,"[1, 0.5, 0.1]"
Faroe Islands,"[1, 0.5, 0.1]"
United States,"[1, 0.1, 0.1]"
Israel,"[1, 0.5, 0.1]"
Sri Lanka,"[1, 0.5, 0.1]"
Seychelles,"[1, 0.5, 0.1]"
Kyrgyz Republic,"[1, 0.5, 0.1]"
Zambia,"[1, 0.5, 0.1]"
Guatemala,"[1, 0.5, 0.1]"
Jordan,"[1, 0.5, 0.1]"
Syrian Arab Republic,"[1, 0.5, 0.1]"
Mauritania,"[1, 0.5, 0.1]"
Lao PDR,"[1, 0.5, 0.1]"
Korea Dem. Peopleâ€™s Rep.,"[1, 0.5, 0.1]"
Paraguay,"[1, 0.5, 0.1]"
Portugal,"[1, 0.5, 0.1]"
Kazakhstan,"[1, 0.5, 0.1]"
Sao Tome and Principe,"[1, 0.5, 0.1]"
Dominican Republic,"[1, 0.6, 0.4]"
Senegal,"[1, 0.6, 0.4]"
Ghana,"[1, 0.6, 0.4]"
Turks and Caicos Islands,"[1, 0.6, 0.4]"
Mongolia,"[1, 0.6, 0.4]"
Sierra Leone,"[1, 0.6, 0.4]"
Haiti,"[1, 0.6, 0.4]"
Costa Rica,"[1, 0.6, 0.4]"
Yemen Rep.,"[1, 0.6, 0.4]"
Colombia,"[1, 0.6, 0.4]"
Canada,"[1, 0.6, 0.4]"
Denmark,"[1, 0.6, 0.4]"
Vietnam,"[1, 0.6, 0.4]"
Equatorial Guinea,"[1, 0.6, 0.4]"
Switzerland,"[1, 0.6, 0.4]"
Papua New Guinea,"[1, 0.6, 0.4]"
Nigeria,"[1, 0.6, 0.4]"
Djibouti,"[1, 0.6, 0.4]"
Tuvalu,"[1, 0.6, 0.4]"
Romania,"[1, 0.6, 0.4]"
Malaysia,"[1, 0.6, 0.4]"
India,"[1, 0.5, 0.1]"
Maldives,"[1, 0.6, 0.4]"
Lebanon,"[1, 0.6, 0.4]"
Norway,"[1, 0.6, 0.4]"
Turkmenistan,"[1, 0.6, 0.4]"
Solomon Islands,"[1, 0.6, 0.4]"
Aruba,"[1, 0.6, 0.4]"
Italy,"[1, 0.6, 0.4]"
Ireland,"[1, 0.6, 0.4]"
South Africa,"[1, 0.6, 0.4]"
Brunei Darussalam,"[1, 0.6, 0.4]"
Mexico,"[1, 0.6, 0.4]"
Uganda,"[1, 0.6, 0.4]"
Central African Republic,"[1, 0.6, 0.4]"
Belgium,"[1, 0.6, 0.4]"
Poland,"[1, 0.6, 0.4]"
Vanuatu,"[1, 0.6, 0.4]"
Micronesia,"[1, 0.6, 0.4]"
Trinidad and Tobago,"[1, 0.6, 0.4]"
Madagascar,"[1, 0.6, 0.4]"
Samoa,"[1, 0.6, 0.4]"
Lesotho,"[1, 0.6, 0.4]"
Singapore,"[1, 0.6, 0.4]"
Libya,"[1, 0.6, 0.4]"
British Virgin Islands,"[1, 0.6, 0.4]"
Germany,"[1, 0.6, 0.4]"
Eritrea,"[1, 0.6, 0.4]"
Chile,"[1, 0.6, 0.4]"
Uzbekistan,"[1, 0.6, 0.4]"
Algeria,"[1, 0.6, 0.4]"
Iran Islamic Rep.,"[1, 0.6, 0.4]"
Russia,"[1, 0.5, 0.1]"
Kenya,"[1, 0.6, 0.4]"
Chad,"[1, 0.6, 0.4]"
Cayman Islands,"[1, 0.6, 0.4]"
Palau,"[1, 0.6, 0.4]"
Mali,"[1, 0.6, 0.4]"
Bermuda,"[1, 0.6, 0.4]"
Macao SAR China,"[1, 0.6, 0.4]"
Indonesia,"[1, 0.6, 0.4]"
Moldova,"[1, 0.6, 0.4]"
New Caledonia,"[1, 0.6, 0.4]"
Zimbabwe,"[1, 0.6, 0.4]"
Belarus,"[1, 0.6, 0.4]"
Armenia,"[1, 0.8, 0.2]"
Slovak Republic,"[1, 0.8, 0.2]"
Bosnia and Herzegovina,"[1, 0.8, 0.2]"
Bahamas,"[1, 0.8, 0.2]"
Benin,"[1, 0.8, 0.2]"
Nepal,"[1, 0.8, 0.2]"
Brazil,"[1, 0.5, 0.1]"
Philippines,"[1, 0.8, 0.2]"
Grenada,"[1, 0.8, 0.2]"
Cambodia,"[1, 0.8, 0.2]"
Hong Kong SAR China,"[1, 0.8, 0.2]"
Sweden,"[1, 0.8, 0.2]"
Angola,"[1, 0.8, 0.2]"
Malawi,"[1, 0.8, 0.2]"
Ethiopia,"[1, 0.8, 0.2]"
Venezuela,"[1, 0.8, 0.2]"
New Zealand,"[1, 0.8, 0.2]"
Egypt,"[1, 0.8, 0.2]"
France,"[1, 0.8, 0.2]"
Estonia,"[1, 0.8, 0.2]"
Mauritius,"[1, 0.8, 0.2]"
Iceland,"[1, 0.8, 0.2]"
Eswatini,"[1, 0.8, 0.2]"
Guyana,"[1, 0.8, 0.2]"
Luxembourg,"[1, 0.8, 0.2]"
Fiji,"[1, 0.8, 0.2]"
Guinea,"[1, 0.8, 0.2]"
Cuba,"[1, 0.8, 0.2]"
Kuwait,"[1, 0.8, 0.2]"
Suriname,"[1, 0.8, 0.2]"
Ecuador,"[1, 0.8, 0.2]"
Sudan,"[1, 0.8, 0.2]"
Japan,"[1, 0.5, 0.1]"
St. Kitts and Nevis,"[1, 0.8, 0.2]"
Dominica,"[1, 0.8, 0.2]"
Cameroon,"[1, 0.8, 0.2]"
United Arab Emirates,"[1, 0.8, 0.2]"
Tunisia,"[1, 0.8, 0.2]"
Myanmar,"[1, 0.8, 0.2]"
Barbados,"[1, 0.8, 0.2]"
Kiribati,"[1, 0.8, 0.2]"
South Asia,"[1, 0.5, 0.1]"
Latvia,"[1, 0.8, 0.2]"
Greece,"[1, 0.8, 0.2]"
European Union,"[1, 0.5, 0.1]"
Namibia,"[1, 0.8, 0.2]"
Australia,"[1, 0.8, 0.2]"
Marshall Islands,"[1, 0.8, 0.2]"
Guinea-Bissau,"[1, 0.8, 0.2]"
French Polynesia,"[1, 0.8, 0.2]"
Qatar,"[1, 0.8, 0.2]"
Thailand,"[1, 0.8, 0.2]"
Spain,"[1, 0.8, 0.2]"
Croatia,"[1, 0.8, 0.2]"
Uruguay,"[1, 0.8, 0.2]"
Burkina Faso,"[1, 0.8, 0.2]"
Greenland,"[1, 0.8, 0.2]"
Bulgaria,"[1, 0.8, 0.2]"
Georgia,"[1, 0.8, 0.2]"
Oman,"[1, 0.8, 0.2]"
China,"[0.9, 0, 0]"
Belize,"[1, 1, 0]"
Burundi,"[1, 1, 0]"
Rwanda,"[1, 1, 0]"
Latin America & Caribbean,"[1, 0.5, 0.1]"
